ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-01-03,1451.9358076063718,-1189.863244345163,4282.178781489573,1451.9358076063718,1451.9358076063718,96.3211225310454,96.3211225310454,96.3211225310454,419.57662290124006,419.57662290124006,419.57662290124006,-323.2555003701946,-323.2555003701946,-323.2555003701946,0.0,0.0,0.0,1548.2569301374172
2014-01-04,1452.0539307661006,-1656.4802150841056,3909.942687603166,1452.0539307661006,1452.0539307661006,-398.31753140669423,-398.31753140669423,-398.31753140669423,22.055791034357764,22.055791034357764,22.055791034357764,-420.373322441052,-420.373322441052,-420.373322441052,0.0,0.0,0.0,1053.7363993594063
2014-01-05,1452.1720539258292,-1728.7390797518237,3725.9721400571543,1452.1720539258292,1452.1720539258292,-307.0667032076548,-307.0667032076548,-307.0667032076548,203.87039745461468,203.87039745461468,203.87039745461468,-510.93710066226953,-510.93710066226953,-510.93710066226953,0.0,0.0,0.0,1145.1053507181743
2014-01-06,1452.290177085558,-1449.5138914516986,3932.9710320915538,1452.290177085558,1452.290177085558,-182.2909775445627,-182.2909775445627,-182.2909775445627,411.452765502898,411.452765502898,411.452765502898,-593.7437430474606,-593.7437430474606,-593.7437430474606,0.0,0.0,0.0,1269.9991995409953
2014-01-07,1452.4083002452867,-1953.0638508631255,3385.1366993618794,1452.4083002452867,1452.4083002452867,-839.9130464049787,-839.9130464049787,-839.9130464049787,-172.17587922435203,-172.17587922435203,-172.17587922435203,-667.7371671806266,-667.7371671806266,-667.7371671806266,0.0,0.0,0.0,612.495253840308
2014-01-09,1452.6445465647441,-1668.2387240004537,3579.871185897023,1452.6445465647441,1452.6445465647441,-630.1898417337195,-630.1898417337195,-630.1898417337195,155.75536791036373,155.75536791036373,155.75536791036373,-785.9452096440832,-785.9452096440832,-785.9452096440832,0.0,0.0,0.0,822.4547048310246
2014-01-10,1452.762669724473,-1533.8266451691688,3845.4581369645384,1452.762669724473,1452.762669724473,-409.41779617662826,-409.41779617662826,-409.41779617662826,419.5766229017535,419.5766229017535,419.5766229017535,-828.9944190783818,-828.9944190783818,-828.9944190783818,0.0,0.0,0.0,1043.3448735478446
2014-01-11,1452.8807928842016,-2123.4778276607526,3371.454302038553,1452.8807928842016,1452.8807928842016,-838.8744021592001,-838.8744021592001,-838.8744021592001,22.055791034954602,22.055791034954602,22.055791034954602,-860.9301931941548,-860.9301931941548,-860.9301931941548,0.0,0.0,0.0,614.0063907250014
2014-01-13,1453.1170392036588,-1770.3482473867687,3714.713715298419,1453.1170392036588,1453.1170392036588,-480.1704934913128,-480.1704934913128,-480.1704934913128,411.45276550254465,411.45276550254465,411.45276550254465,-891.6232589938575,-891.6232589938575,-891.6232589938575,0.0,0.0,0.0,972.946545712346
2014-01-14,1453.2351623633876,-2486.7740556413796,3107.8941621980935,1453.2351623633876,1453.2351623633876,-1063.2226626977128,-1063.2226626977128,-1063.2226626977128,-172.17587922551525,-172.17587922551525,-172.17587922551525,-891.0467834721976,-891.0467834721976,-891.0467834721976,0.0,0.0,0.0,390.0124996656748
2014-01-15,1453.3532855231165,-3139.992926767242,2404.1342568847876,1453.3532855231165,1453.3532855231165,-1921.2126380915024,-1921.2126380915024,-1921.2126380915024,-1040.5350655822388,-1040.5350655822388,-1040.5350655822388,-880.6775725092635,-880.6775725092635,-880.6775725092635,0.0,0.0,0.0,-467.85935256838593
2014-01-16,1453.471408682845,-2018.212255593962,3732.7245363420525,1453.471408682845,1453.471408682845,-705.6427092560285,-705.6427092560285,-705.6427092560285,155.75536791045195,155.75536791045195,155.75536791045195,-861.3980771664806,-861.3980771664806,-861.3980771664806,0.0,0.0,0.0,747.8286994268166
2014-01-18,1453.7076550023025,-1904.315692084381,3513.6189601354013,1453.7076550023025,1453.7076550023025,-778.5107874821364,-778.5107874821364,-778.5107874821364,22.055791034053787,22.055791034053787,22.055791034053787,-800.5665785161902,-800.5665785161902,-800.5665785161902,0.0,0.0,0.0,675.1968675201662
2014-01-19,1453.8257781620314,-1870.2144780642275,3713.4996257357916,1453.8257781620314,1453.8257781620314,-557.7619568002743,-557.7619568002743,-557.7619568002743,203.87039745489696,203.87039745489696,203.87039745489696,-761.6323542551713,-761.6323542551713,-761.6323542551713,0.0,0.0,0.0,896.063821361757
2014-01-20,1453.94390132176,-1587.353209221705,4029.9921013827184,1453.94390132176,1453.94390132176,-307.5110572276024,-307.5110572276024,-307.5110572276024,411.4527655034826,411.4527655034826,411.4527655034826,-718.963822731085,-718.963822731085,-718.963822731085,0.0,0.0,0.0,1146.4328440941576
2014-01-21,1454.0620244814888,-2048.360347019879,3277.3029611276233,1454.0620244814888,1454.0620244814888,-846.2947958373577,-846.2947958373577,-846.2947958373577,-172.17587922395518,-172.17587922395518,-172.17587922395518,-674.1189166134025,-674.1189166134025,-674.1189166134025,0.0,0.0,0.0,607.7672286441311
2014-01-23,1454.2982708009463,-1627.9099800401577,3813.0681367084726,1454.2982708009463,1454.2982708009463,-428.51976813893,-428.51976813893,-428.51976813893,155.7553679117013,155.7553679117013,155.7553679117013,-584.2751360506313,-584.2751360506313,-584.2751360506313,0.0,0.0,0.0,1025.7785026620163
2014-01-26,1454.6526402801323,-1650.2682860467398,4137.926270825143,1454.6526402801323,1454.6526402801323,-268.3323939015256,-268.3323939015256,-268.3323939015256,203.87039745326,203.87039745326,203.87039745326,-472.20279135478563,-472.20279135478563,-472.20279135478563,0.0,0.0,0.0,1186.3202463786067
2014-01-27,1454.7707634398612,-1354.408018896001,4107.447435481137,1454.7707634398612,1454.7707634398612,-34.965863777177894,-34.965863777177894,-34.965863777177894,411.45276550227624,411.45276550227624,411.45276550227624,-446.41862927945414,-446.41862927945414,-446.41862927945414,0.0,0.0,0.0,1419.8048996626833
2014-01-28,1454.8888865995898,-2016.812526424593,3344.0576111855266,1454.8888865995898,1454.8888865995898,-600.4758463056853,-600.4758463056853,-600.4758463056853,-172.17587922196927,-172.17587922196927,-172.17587922196927,-428.29996708371607,-428.29996708371607,-428.29996708371607,0.0,0.0,0.0,854.4130402939045
2014-01-30,1455.1251329190472,-1725.859302893338,3808.977669221236,1455.1251329190472,1455.1251329190472,-262.4396322052182,-262.4396322052182,-262.4396322052182,155.75536791237013,155.75536791237013,155.75536791237013,-418.1950001175883,-418.1950001175883,-418.1950001175883,0.0,0.0,0.0,1192.685500713829
2014-01-31,1455.243256078776,-1105.887608598184,4267.481600344376,1455.243256078776,1455.243256078776,-7.623592342555172,-7.623592342555172,-7.623592342555172,419.5766229014077,419.5766229014077,419.5766229014077,-427.2002152439628,-427.2002152439628,-427.2002152439628,0.0,0.0,0.0,1447.619663736221
2014-02-01,1455.3613792385047,-1731.4159850327226,3790.116179043731,1455.3613792385047,1455.3613792385047,-423.7708274192613,-423.7708274192613,-423.7708274192613,22.055791034899542,22.055791034899542,22.055791034899542,-445.8266184541609,-445.8266184541609,-445.8266184541609,0.0,0.0,0.0,1031.5905518192435
2014-02-02,1455.4795023982333,-1644.978978478928,3927.2847234706346,1455.4795023982333,1455.4795023982333,-270.07171089966744,-270.07171089966744,-270.07171089966744,203.87039745284542,203.87039745284542,203.87039745284542,-473.94210835251283,-473.94210835251283,-473.94210835251283,0.0,0.0,0.0,1185.407791498566
2014-02-03,1455.5976255579621,-1327.0186106404321,4132.287178460835,1455.5976255579621,1455.5976255579621,-99.70656881576075,-99.70656881576075,-99.70656881576075,411.452765502776,411.452765502776,411.452765502776,-511.15933431853676,-511.15933431853676,-511.15933431853676,0.0,0.0,0.0,1355.8910567422015
2014-02-04,1455.7157487176908,-1810.896022857631,3504.4350187935975,1455.7157487176908,1455.7157487176908,-729.018697068122,-729.018697068122,-729.018697068122,-172.1758792227067,-172.1758792227067,-172.1758792227067,-556.8428178454153,-556.8428178454153,-556.8428178454153,0.0,0.0,0.0,726.6970516495687
2014-02-06,1455.9519950371482,-1786.3646291945038,3748.6840755229914,1455.9519950371482,1455.9519950371482,-514.154544049094,-514.154544049094,-514.154544049094,155.75536791141388,155.75536791141388,155.75536791141388,-669.9099119605079,-669.9099119605079,-669.9099119605079,0.0,0.0,0.0,941.7974509880542
2014-02-07,1456.070118196877,-1636.1571911547733,3663.4357129864306,1456.070118196877,1456.070118196877,-315.35049751107084,-315.35049751107084,-315.35049751107084,419.57662290241825,419.57662290241825,419.57662290241825,-734.9271204134891,-734.9271204134891,-734.9271204134891,0.0,0.0,0.0,1140.7196206858061
2014-02-08,1456.1882413566057,-2185.271634838869,3574.648171473339,1456.1882413566057,1456.1882413566057,-781.6744957632025,-781.6744957632025,-781.6744957632025,22.055791034346647,22.055791034346647,22.055791034346647,-803.7302867975492,-803.7302867975492,-803.7302867975492,0.0,0.0,0.0,674.5137455934032
2014-02-11,1456.542610835792,-2527.508127296424,2992.6605899652077,1456.542610835792,1456.542610835792,-1188.8465058923307,-1188.8465058923307,-1188.8465058923307,-172.17587922157244,-172.17587922157244,-172.17587922157244,-1016.6706266707583,-1016.6706266707583,-1016.6706266707583,0.0,0.0,0.0,267.69610494346125
2014-02-12,1456.6607339955206,-3477.776559616774,2173.920665606051,1456.6607339955206,1456.6607339955206,-2124.645426115757,-2124.645426115757,-2124.645426115757,-1040.535065581987,-1040.535065581987,-1040.535065581987,-1084.1103605337698,-1084.1103605337698,-1084.1103605337698,0.0,0.0,0.0,-667.9846921202363
2014-02-14,1456.896980314978,-2046.6187988134232,3333.9362156099774,1456.896980314978,1456.896980314978,-783.8000488962215,-783.8000488962215,-783.8000488962215,419.57662290197163,419.57662290197163,419.57662290197163,-1203.3766717981932,-1203.3766717981932,-1203.3766717981932,0.0,0.0,0.0,673.0969314187565
2014-02-15,1457.0151034747068,-2468.8912405041187,2874.801770647912,1457.0151034747068,1457.0151034747068,-1229.9327407489154,-1229.9327407489154,-1229.9327407489154,22.055791033793724,22.055791033793724,22.055791033793724,-1251.988531782709,-1251.988531782709,-1251.988531782709,0.0,0.0,0.0,227.08236272579143
2014-02-16,1457.1332266344357,-2577.48447898554,2905.9673456372343,1457.1332266344357,1457.1332266344357,-1087.4454508811125,-1087.4454508811125,-1087.4454508811125,203.8703974530169,203.8703974530169,203.8703974530169,-1291.3158483341294,-1291.3158483341294,-1291.3158483341294,0.0,0.0,0.0,369.6877757533232
2014-02-17,1457.2513497941643,-2037.5085907326322,3097.5229197354515,1457.2513497941643,1457.2513497941643,-908.6592947922226,-908.6592947922226,-908.6592947922226,411.45276550336075,411.45276550336075,411.45276550336075,-1320.1120602955832,-1320.1120602955832,-1320.1120602955832,0.0,0.0,0.0,548.5920550019417
2014-02-18,1457.3694729538931,-2922.3714709821616,2608.4780605885126,1457.3694729538931,1457.3694729538931,-1509.507603913127,-1509.507603913127,-1509.507603913127,-172.17587922230982,-172.17587922230982,-172.17587922230982,-1337.3317246908173,-1337.3317246908173,-1337.3317246908173,0.0,0.0,0.0,-52.13813095923388
2014-02-20,1457.6057192733506,-2443.0992963075582,3032.4940657661396,1457.6057192733506,1457.6057192733506,-1178.2541727591326,-1178.2541727591326,-1178.2541727591326,155.7553679127515,155.7553679127515,155.7553679127515,-1334.009540671884,-1334.009540671884,-1334.009540671884,0.0,0.0,0.0,279.35154651421794
2014-02-21,1457.723842433079,-2147.3775692837553,3361.7793674964473,1457.723842433079,1457.723842433079,-893.003737410828,-893.003737410828,-893.003737410828,419.57662290344547,419.57662290344547,419.57662290344547,-1312.5803603142735,-1312.5803603142735,-1312.5803603142735,0.0,0.0,0.0,564.720105022251
2014-02-22,1457.8419655928078,-2717.1220089852463,2970.1963505393815,1457.8419655928078,1457.8419655928078,-1255.7665281756485,-1255.7665281756485,-1255.7665281756485,22.055791035192343,22.055791035192343,22.055791035192343,-1277.8223192108408,-1277.8223192108408,-1277.8223192108408,0.0,0.0,0.0,202.07543741715926
2014-02-23,1457.9600887525364,-2248.9087942019137,3323.00015374776,1457.9600887525364,1457.9600887525364,-1026.0896848060158,-1026.0896848060158,-1026.0896848060158,203.87039745371376,203.87039745371376,203.87039745371376,-1229.9600822597297,-1229.9600822597297,-1229.9600822597297,0.0,0.0,0.0,431.8704039465206
2014-02-24,1458.0782119122655,-2020.6681251665207,3468.311077984879,1458.0782119122655,1458.0782119122655,-758.0317375909191,-758.0317375909191,-758.0317375909191,411.45276550386046,411.45276550386046,411.45276550386046,-1169.4845030947795,-1169.4845030947795,-1169.4845030947795,0.0,0.0,0.0,700.0464743213464
2014-02-27,1458.4325804927375,-1967.7620414659393,3414.765280050425,1458.4325804927375,1458.4325804927375,-765.2723560257166,-765.2723560257166,-765.2723560257166,155.75536791179525,155.75536791179525,155.75536791179525,-921.0277239375117,-921.0277239375117,-921.0277239375117,0.0,0.0,0.0,693.160224467021
2014-03-01,1458.6688262130526,-1749.3669960221323,3512.509406511813,1458.6688262130526,1458.6688262130526,-689.9267077531983,-689.9267077531983,-689.9267077531983,22.055791034639483,22.055791034639483,22.055791034639483,-711.9824987878379,-711.9824987878379,-711.9824987878379,0.0,0.0,0.0,768.7421184598543
2014-03-02,1458.78694907321,-1655.5088510295266,3610.7945209129884,1458.78694907321,1458.78694907321,-395.21432777242666,-395.21432777242666,-395.21432777242666,203.87039745441075,203.87039745441075,203.87039745441075,-599.0847252268373,-599.0847252268373,-599.0847252268373,0.0,0.0,0.0,1063.5726213007833
2014-03-03,1458.9050719333675,-1451.937334121838,3975.375787714416,1458.9050719333675,1458.9050719333675,-71.49873718965695,-71.49873718965695,-71.49873718965695,411.45276550223895,411.45276550223895,411.45276550223895,-482.95150269189594,-482.95150269189594,-482.95150269189594,0.0,0.0,0.0,1387.4063347437104
2014-03-04,1459.023194793525,-1932.6611799517468,3701.2349221129534,1459.023194793525,1459.023194793525,-537.5975605054122,-537.5975605054122,-537.5975605054122,-172.17587922148718,-172.17587922148718,-172.17587922148718,-365.42168128392507,-365.42168128392507,-365.42168128392507,0.0,0.0,0.0,921.4256342881127
2014-03-05,1459.1413176536823,-2365.419844319279,2844.279812225771,1459.1413176536823,1459.1413176536823,-1288.884831490735,-1288.884831490735,-1288.884831490735,-1040.5350655819632,-1040.5350655819632,-1040.5350655819632,-248.34976590877184,-248.34976590877184,-248.34976590877184,0.0,0.0,0.0,170.25648616294734
2014-03-07,1459.3775633739974,-936.6487862421525,4688.904747017875,1459.3775633739974,1459.3775633739974,396.7334769873653,396.7334769873653,396.7334769873653,419.5766229025859,419.5766229025859,419.5766229025859,-22.84314591522058,-22.84314591522058,-22.84314591522058,0.0,0.0,0.0,1856.1110403613627
2014-03-10,1459.7319319544695,-536.4045936836853,4918.22103661952,1459.7319319544695,1459.7319319544695,680.3880297631823,680.3880297631823,680.3880297631823,411.45276550232387,411.45276550232387,411.45276550232387,268.93526426085845,268.93526426085845,268.93526426085845,0.0,0.0,0.0,2140.1199617176517
